reason,Count
Abandoned Bicycle,914
Administrative & General Requests,2344
Air Pollution Control,28
Alert Boston,1
Animal Issues,1539
Billing,9
Boston Bikes,56
Bridge Maintenance,8
Building,4542
Catchbasin,972
Cemetery,33
Code Enforcement,39737
Employee & General Comments,2380
Enforcement & Abandoned Vehicles,65349
Environmental Services,5705
Fire Hydrant,313
General Request,187
Generic Noise Disturbance,33
Graffiti,2897
Health,1134
Highway Maintenance,23665
Housing,7398
Massport,4
Needle Program,11687
Neighborhood Services Issues,21
Noise Disturbance,1201
Notification,573
Office of The Parking Clerk,1
Operations,166
Park Maintenance & Safety,7121
Parking Complaints,48
Pothole,104
Programs,19
Quality of Life,1446
Recycling,11306
Sanitation,10198
Sidewalk Cover / Manhole,328
Signs & Signals,12925
Street Cleaning,48702
Street Lights,434
Traffic Management & Engineering,982
Trees,620
Valet,20
Weights and Measures,37
